gvi_engDescr_133,gvi_engDescr_118,gvi_engDescr_128,gvi_engDescr_129,gvi_engDescr_122,gvi_engDescr_123,gvi_engDescr_120,gvi_engDescr_121,gvi_engDescr_126,gvi_engDescr_127,gvi_engDescr_124,gvi_engDescr_125,gvi_engDescr_117,gvi_engDescr_116,gvi_engDescr_115,gvi_engDescr_114,gvi_engDescr_113,gvi_engDescr_112,gvi_engDescr_131,gvi_engDescr_130,gvi_engDescr_119,gvi_engDescr_132
asymmetrical unlike others,asymmetrical,less symmetrical,opposite,go together like puzzle,easy line reflection,scrunched together,balanced,symmetrical,symmetrical,symmetrical flipped,symmetric,reflection instead parallel,shapes would symmetrical cut middle,shape,jagged shape random juts instead following patter,made shapesshapes center,symmetric,shape,triangles lined,rotated shapes,symmetrical
asymmetrical unlike others,asymmetrical,less symmetrical,parallel,mirror image,easy line reflection easily mirrored,stretched points,shape unbalanced,symmetric,different directions,odd looking,symmetric,reflection parallel,shapes would symmetrical folded line,shape,jagged clean pattern,made shapesshapes center,symmetric,shape,points triangles facing direction,orientation,symmetrical
triangles face opposite directions,shapes oriented different direction,direction pointing,small big,mirror image,triangles facing direction,points facing,direction,one shape flipped,dot sides,set others,two similar shapes,reflection parallel,facing direction,symmetric,points triangle facing different ways,triangle parallel,different orientation,direction,asymmetrical,shapes mirror,alignment shape
circle parallel lines,dot two parallel borders,triangles pointing direction,parallel,alignment shapes different,flat side second triangle facing dot,point triangle toward dot,shapes opposite directions,dot aligned point side,reflection line,oddly spaced,two triangles direction,parallel reflection,others flipped dot,asymmetric,points going way longest flat side facing,triangle sides parallel,different orientation,direction triangle,asymmetrical,wrong orientation rotation,shapes parallel
triangles facing upward,shapes mirrorflipped,angle triangles,opposite,nonparallel set lines,shapes reflected,angled different,mirrored,symmetrical flip line,reflection line,point straight,symmetric,parallel reflection,symmetrical line,asymmetric,triangles facing way instead points facing,triangles parallel instead mirror image,symmetrical,symmetric,triangles facing eachother side side,shapes flipped,symmetric
set mirror image,turned outward inward,different shape,different direction,proportion different others,shapes pointing direction,triangles placed differently,similar shapes different angles line,shape symmetrical line,shapes facing different directions,know wrong,two triangles towards point,reflection parallel,shapes face towards dot,asymmetric,triangles facing different ways line,triangles face opposite directions,different orientation,direction,parallel,flipped shapes,tips alligned line
set mirror image,shapes mirror flipped,rotation triangle,one dot distant others,lines parallel others,shapes reflected,flat part toward inside,reflect shape,symmetrical flip,lines parallel,tilted normal others,symmetric,parallel reflection,shapes flipped line,asymmetric,triangles facing,triangles parallel mirror image,symmetric,symmetric,parallel,lines parallel,symmetrical
triangles oriented parallel lines,two shapes oriented direction,different placement 2 triangles,mirror reflection,facing direction,triangles different orientation,points facing,shapes direction,one triangle flipped,rotation reflection,placed others,similar shapes,reflection parallel,smaller facing different direction ones,asymmetric,points pointing pointing way,triangles parallel,different orientation,direction,dot opposite side,flipped shape,facing different directions
parallel like others,lines parallel,lines parallel,two two,spaces dots different,lines parallel,parellel,lines parallel,lines symmetrical,lines parallel,parallel,parallel,random parallel,parallel,nonparallel,perpendicular lines eventually meet kept going,lines parallel,parallel,parallel,lines left side vertical line,little triangle small,parallel lines
incorrect,circle right side line pointing clockwise counterclockwise,rotation shape,,spacing dots different,facing direction reflected image rotated,mirror image others,black circle right side line,circle right side line,flipped opposite direction,different way faced,clockwise direction,dot pointing right left,shapes look curved,shape,one facing right,circle opposite side black line,line left side circle,position round pot,dots equally spaced,parallel lines,blob facing different direction
largest difference size,smaller shape decreased even proportion,different placement triangles,,,shapes greater change size,big difference shape triangles,size different greatly,triangle small,different direction,flow well,difference bigger,size difference obvious,smaller triangle lot smaller ex,size,little triangle much smaller big triangle,large size difference triangles,ratio two triangles,shape,lines right side line left,flipped shape,size variation
set parallel lines,lines parallel,parallel slanted lines,,,lines parallel angled,parallel lines,parallel lines,lines parallel,different spacing,parallel,parallel lines,parallel random,set parallel lines,parallel,parallel lines,parallel lines,parallel,parallel,dots pairs 3 close one far,image flipped,parallel lines
circle faces left instead right,pointing counterclockwise clockwise,circle facing left,,,reflected image,mirror direction,circle left side,circle left line,flipped,facing different way,dot left,dot pointing left,facing different direction,shape,big black circle facing left,black circle opposite side line,line right side circle,position black spot,,unevenly spread,facing different direction
branches point left right,two horizontal lines rightward vertical line,short lines facing left,,,reflected image,mirror image others,parallel lines left side,lines left,dots spaced differently,backwards,left,lines pointing left,facing different way,shape,f facing left instead right,two short lines opposite side longer line,different orientation,direction,,different orientation,facing different direction
circles equidistant like others,gaps dots evenly spaced,dot away,,,dots equal distances apart,space 3rd 4th dot,unequal distance dots,outlying dot unlike others,,dots spaced,equal distance two points,one dots far away,spaces equal,pattern,one black dot separate rest,space 3rd 4th dot,ratio distance larger,distance,,dots evenly split,1 dot seperated
object lines facing right main line,pointing clockwise counterclockwise,rotation shape,,,reflected image rotated,mirror image others,parallel lines appear right side,double line right line top,,goofy looking,clockwise direction,two short lines pointing right,tilting,direction,line looks longer base f,two short lines opposite side longer line,line left side,position f,,,orientation
mirror image unlike others,gaps dots increasing size,2 dots separated 1,,,groups two dots rather 3 1,spread differently,split two dots side,almost symmetric,,dots far apart,decreasing increasing distance,dots 22 instead 13,dot spacing different,pattern,space two dots two dots side instead one dot separated,large space 2nd 3rd dot instead 1st 2nd,distance middle two larger,distance,,,dot spacing 22
