,numWords,numNouns,numAdj,numAdv,numNumbers
gvi_engDescr_119,1.92857142857,1.19047619048,0.428571428571,0.0714285714286,0.0
gvi_engDescr_118,2.97619047619,1.54761904762,0.452380952381,0.214285714286,0.142857142857
gvi_engDescr_128,2.52380952381,1.40476190476,0.571428571429,0.0714285714286,0.047619047619
gvi_engDescr_129,1.54761904762,0.857142857143,0.333333333333,0.0238095238095,0.119047619048
gvi_engDescr_122,2.33333333333,1.52380952381,0.428571428571,0.047619047619,0.0952380952381
gvi_engDescr_123,2.88095238095,1.71428571429,0.547619047619,0.119047619048,0.119047619048
gvi_engDescr_120,2.52380952381,1.42857142857,0.309523809524,0.166666666667,0.0952380952381
gvi_engDescr_121,2.78571428571,1.78571428571,0.47619047619,0.119047619048,0.0952380952381
gvi_engDescr_126,2.47619047619,1.45238095238,0.619047619048,0.047619047619,0.0952380952381
gvi_engDescr_127,1.92857142857,1.14285714286,0.404761904762,0.0238095238095,0.0714285714286
gvi_engDescr_124,2.2619047619,0.928571428571,0.571428571429,0.214285714286,0.0714285714286
gvi_engDescr_125,2.21428571429,1.30952380952,0.47619047619,0.047619047619,0.166666666667
gvi_engDescr_117,2.78571428571,1.21428571429,0.547619047619,0.357142857143,0.261904761905
gvi_engDescr_116,2.78571428571,1.52380952381,0.547619047619,0.0714285714286,0.119047619048
gvi_engDescr_115,1.19047619048,0.880952380952,0.214285714286,0.0,0.0
gvi_engDescr_114,4.40476190476,2.14285714286,0.97619047619,0.309523809524,0.166666666667
gvi_engDescr_113,3.69047619048,2.30952380952,0.738095238095,0.190476190476,0.166666666667
gvi_engDescr_112,1.92857142857,1.19047619048,0.595238095238,0.0,0.0714285714286
gvi_engDescr_131,1.30952380952,1.07142857143,0.214285714286,0.0,0.0
gvi_engDescr_130,2.21428571429,1.2619047619,0.52380952381,0.047619047619,0.0952380952381
gvi_engDescr_133,3.0,1.7619047619,0.428571428571,0.119047619048,0.0714285714286
gvi_engDescr_132,2.2619047619,1.33333333333,0.47619047619,0.047619047619,0.142857142857
