,numWords,numNouns,numAdj,numAdv,numNumbers,simRatio,wordMatch,semanticSim,w2vSimilarity,SIFSimilarity_Glove50000,SIFSimilarity_Glove50000_skip,SIFSimilarity_GN300000_skip,numNoContent,aveNoContent
Transformation-rotation (34),2.40909090909,1.40909090909,0.409090909091,0.0909090909091,0.0454545454545,0.0513071895425,0.176470588235,0.275271240459,0.170571095504,0.463578165,0.463578165,0.637735701,4,0.173913043478
Geometry-line-2 (10),1.90909090909,1.04545454545,0.0909090909091,0.0,0.0,0.396536796537,0.87012987013,0.544159457734,0.385841793755,0.254930755,0.259422927,0.3756892,0,0.0
Series-Arithmetic (43),3.13636363636,1.54545454545,0.454545454545,0.318181818182,0.409090909091,0.0851817494675,0.285714285714,0.24609396535,0.162477018125,0.512396882,0.512396882,0.620559103,0,0.0
Geometry-Diagonals (22),2.09090909091,1.54545454545,0.181818181818,0.136363636364,0.0454545454545,0.0774157616263,0.228070175439,0.273565878496,0.168094490305,0.600096309,0.572259223,0.671314388,3,0.136363636364
Transformation-axialsymmetry-vertical (27),2.13636363636,1.22727272727,0.363636363636,0.0454545454545,0.0454545454545,0.050589569161,0.109523809524,0.152761144905,0.185508078323,0.531368329,0.531368329,0.63091992,1,0.0434782608696
Geometry-Midpoint (19),2.72727272727,2.04545454545,0.136363636364,0.0909090909091,0.136363636364,0.374613481756,1.01731601732,0.59209618041,0.264833528679,0.241865556,0.242917145,0.35567129,0,0.0
Geometry-Convexity (9),2.36363636364,1.40909090909,0.318181818182,0.136363636364,0.0,0.132460661032,0.311688311688,0.263531406216,0.232964471165,0.500885337,0.464779827,0.587818531,0,0.0
Geometry-line-3 (11),2.81818181818,1.86363636364,0.363636363636,0.136363636364,0.0,0.473933209647,1.35497835498,0.659315318278,0.31716850059,0.247573177,0.249735388,0.348418631,0,0.0
Geometry-Proportion1-3 (21),3.40909090909,2.18181818182,0.363636363636,0.545454545455,0.0454545454545,0.230988299819,0.839826839827,0.450163919096,0.201355441642,0.331557679,0.331557679,0.494061136,0,0.0
Geometry-Parallelogram (25),1.77272727273,1.27272727273,0.181818181818,0.0454545454545,0.136363636364,0.170177970178,0.242424242424,0.338222906878,0.230202749637,0.493701663,0.281078339,0.559036952,0,0.0
Geometry-Proportions (39),2.81818181818,1.63636363636,0.909090909091,0.181818181818,0.0454545454545,0.0944246981089,0.3,0.346876629565,0.207232942924,0.370371753,0.370371753,0.550137614,2,0.0833333333333
Topology-Inside-Outside (4),3.0,1.77272727273,0.227272727273,0.0454545454545,0.0,0.570239813097,1.71861471861,0.707672530295,0.317866275787,0.164896537,0.205897839,0.254189103,0,0.0
Geometry-Rightangle-3 (15),2.81818181818,1.5,0.545454545455,0.227272727273,0.181818181818,0.100985834752,0.277056277056,0.295421114891,0.173162111737,0.443331319,0.395671452,0.546189302,0,0.0
Geometry-Equilateraltriangle (20),2.0,1.13636363636,0.636363636364,0.0909090909091,0.0454545454545,0.149807256236,0.333333333333,0.325511593879,0.23147428432,0.536821562,0.476424155,0.586464694,1,0.0384615384615
