Transformation-rotation (34),Geometry-line-2 (10),Series-Arithmetic (43),Geometry-Diagonals (22),Geometry-axialsymmetry-vertical- (28),Geometry-Midpoint (19),Geometry-Convexity (9),Geometry-line-3 (11),Geometry-Chirality-4 (44),Geometry-Parallelogram (25),Geometry-Proportions (39),Topology-Inside-Outside (4),Geometry-Rightangle-3 (15),Geometry-Equilateraltriangle (20),Geometry-Chirality-2 (41),Geometry-Chirality-1- (38),Transformation-axialsymmetry-vertical (27),Geometry-Rightangle-1 (13),Geometry-Circle-2- (18),Transformation-axialsymmetry-horizontal (33),Transformation-axialsymmetry-mixed (35),Geometry-Distance (16),Topology-Holes (3),Geometry-Proportion1-3 (21),Topology-Closure (5),Transformation-homothety (36),Geometry-Parallels-1- (37),Geometry-Trapezoid (26),Geometry-Chirality-3 (42),Geometry-line-1 (8),Geometry-Rectangle (24),Geometry-Square (23),Geometry-axialsymmetry-randomaxis (30),Transformation-translation (31),Geometry-Rightangle-2 (14),Topology-Connexity (6),Geometry-axialsymmetry-horizontal (29),Topology-Belongsto (7),Geometry-Quadrilateral (12),Geometry-Parallels-2 (40),Series-Geometric (45),Transformation-pointsymmetry (32)
similar shapes different angles line,curved,pattern,point middle,shape,position dot,shape,position dot,direction,shape,size different greatly,position dot,tilted,shape,shape,shapes look curved,asymmetric,angle,dot position,asymmetric,asymmetric,dot position,hole,position dot,disconnected,asymmetric,nonparallel,pairs sides arent parallel,shape,noncurved,shape,nonsquare,shape,symmetric,angle,disconnected,shape,position dot,number angles,parallel,pattern,asymmetric
two triangles towards point,curved,spaces equal,left dot,shapes symmetrical line went,dot centered,curved,dot line,tilting,trapezoid,difference bigger,dot outside figure,90 degree angle,triangles equal sides,facing different direction,black circle right side line,shapes symmetrical line,2 really acute angles,dot centered,symmetrical line,shapes flipped line,dot away figure,hole middle shape,dot closer end line,incomplete figure,smaller facing different direction ones,parallel,pair lines parallel,facing different way,straight line,90 degree angles,rectangle rather square,shapes would symmetrical folded line,facing direction,90 degree angles,two shapes one,shapes would symmetrical cut middle,dot line,triangle 4 sides,set parallel lines,dot spacing different,others flipped dot
set mirror image,curved line,unequal distance dots,trapezoid rhombus,unbalanced shape,dot middle line,bent shape,dot unparalleled line,parallel lines appear right side,pairs sides parallel,small big,dot outside shape,two lines dont form right angel,right triangle,circle left side,clockwise direction,mirrored,right angel,dot center,mirrored,doesnt reflect shape,dot far away line,whole shape,dot far away center line,doesnt form closed shape,shapes direction,lines parallel,five side,parallel lines left side,straight line,angels arent right angels,square,shape unbalanced,direction,intersection right angels,two shapes,balanced,dot line,three sides,parallel lines,split two dots side,shapes opposite directions
triangles facing different ways line,curve line,dont equal distance two points,white dot isnt centered,symmetric,dot middle point,side curving inside,dot line,clockwise direction,parallelogram,largest difference size,dot outside shape,right angle,triangle three equal sides,dot left,incorrect,symmetric,obtuse triangle,white dot center circle,symmetric,symmetric,distance dot line bigger,space middle,distance sides different,line shape,similar shapes,parallel,trapezoid rhombus,left,line straight,rectangular,square,symmetric,two similar shapes,right angle,two shapes,symmetric,dot line,three sides triangle,parallel lines,decreasing increasing distance,two triangles direction
reflection parallel,curve,one dot distant others,dot far away short line,asymmetrical unlike others,dot left side,gap,line left,mirror reflection,trapezoid,little triangle much smaller big triangle,dot outside,tilted,nonequilateral triangle,opposite,one facing right,set nonmirror images,narrowest,dot center,mirror reflection,mirror reflected,dot furthest away line,whole,dot left,complete,opposite,parallel,diamond type shape,different direction,straight,tilted,rectangle square,asymmetrical unlike others,mirror reflection,narrowest intersection,two,asymmetrical unlike others,along line,triangle,parallel,two two,shape
triangles placed differently,curved line,circles equidistant like others,different shapoe,jagged wild shape,circle center line,inward curve unlike others,circle perfectly aligned line,object lines facing right main line,trapezoid rhombus,size difference obvious,circle outside inside,contain right angles,skinnier triangle longer body,circle faces left instead right,dot pointing right left,triangles arent facing,contains two acute angles unlike others,dot center circle,triangles facing upward,set mirror image,dot farther line,interior cutout,longest line,enclosed shape,triangles oriented parallel lines,parallel like others,regular shape,branches point left right,straight line,rhombus rectangle,rectangle shape,jagged clean pattern,triangles face opposite directions,contain right angles,two shapes one,jagged shape random juts instead following patter,circle line,triangle foursided,set parallel lines,mirror image unlike others,circle parallel lines
shape symmetrical line,curved line,one black dot separate rest,dot one side,reflection parallel,black dot towards one end,oblong weird shape,black dot end line,line looks longer base f,trapezoid,big difference shape trianges,black dot contained within shape,flat plane like road intersection clean angles,sharp triangle,big black circle facing left,mirror image others,parallel instead reflection,longer skinnier triangle,black circle much bigger white dot centered,triangles facing way instead points facing,triangles arent facing,black dot much farther away line,hole middle shape,black dot closer edge,shape completely closed opening,points pointing arent pointing way,perpendicular lines eventually meet kept going,rectangular,f facing left instead right,straight line instead curved,rhombus shape angled sides,square,reflection parallel,points triangle facing different ways,looks laying flat plane look like x,two shapes,reflection instead parallel,black dot line,triangle instead trapezoid square,parallel lines,space two dots two dots side instead one dot separated,points going way longest flat side facing
direction,bent straight,one dots far away,dot close larger base,stretched longitudally,dot away line center,hollow outside,dot away line,two short lines pointing right,two lines parallel,proportion different others,dot outside shape,without 90 angle,skinnier others,dot pointing left,circle right side line,others tilted toward one,without 90 angle,dot isnt center,parallel reflection,parallel reflection,dot far away line,hole shape,dot two far away center,line doesnt connect,reflection parallel,random parallel,bent,lines pointing left,straight bent,square,rectangle rather square like rest,stretched points,reflection parallel,without 90 angle,two shapes instead one,scrunched together,dot line,triangle instead square,parallel random,dots 22 instead 13,parallel reflection
,curved,space 3rd 4th dot,position,symmetrical,dot center,curved different,dot straight,mirror image others,trapezoid shape,triangle small,dot inside shape like others,make shape,equilateral triangle,mirror direction,position round pot,mirror image,shape seems flatter rest,dot centered,angled different,flat part toward inside,dot line,hole middle shape,line much longer,shape complete,points facing,parellel,shape,mirror image others,straight line,square angled,rectangle square,stacked,points facing,cross flattened,two shapes rather one,symmetrical,dot line,triangle,parallel lines,spread differently,point triangle toward dot
,curved line straight,spaces dots different,,shape,dot centered,crescent shape,dot line line,double line right line top,different shape,shape,dot outside figure,smaller line 90 degree angle,equilateral,facing direction,,symmetrical flip,obtuse angle,white dot center,mirror image,mirror image,dot far line,whole shape,dot farthest toward end line,opening shape,alignment shapes different,nonparallel set lines,,lines left,line straight curved,rectangle,rectangle square,symmetric,alignment,smaller angles formed,two figures one,shape,dot line,triangle quadrilateral,lines parallel others,spacing dots different,doesnt go together like puzzle
,line curved others,outlying dot unlike others,,,dot center line,concave feature,dot end line,position f,trapezoid parallelogram,,dot outside shape,perpandicular,shape,circle left line,,symmetrical,triangle thin,dot center others,symmetrical flip line,symmetrical flip,dot far line others,hole shape,distance edge shorter,lines dont connect,one triangle flipped,lines symmetrical,,direction,straight line others curved,rectangle,shape,shape,one shape flipped,perpandicular,two shapes one,,dot line,triangle quadrilateral,lines parallel,almost symmetric,dot aligned point side
,straight line,distance,,,position point,shape,position spot,,shape,,position,angle,,position black spot,,,angle,position spot,symmetric,symmetric,distance,color,position spot,whole shape,direction,parallel,,,straight,shape,,,direction,ancle,separated,,point line,shape,parallel,distance,direction trangle
