,numWords,numNouns,numAdj,numAdv,numNumbers,simRatio,wordMatch,semanticSim,w2v_similarity,SIF_Similarity_onlyNeededVec,numNoContent,aveNoContent
diff(38),2.66666666667,1.73333333333,0.6,0.0,0.0,0.107278911565,0.304761904762,0.340957785005,0.191148872195,0.625117554198,0,0.0
diff(6),2.33333333333,0.933333333333,0.2,0.0666666666667,1.06666666667,0.348752834467,0.857142857143,0.555643284136,0.321641431222,0.483251361767,0,0.0
diff(15),3.33333333333,1.93333333333,0.6,0.2,0.133333333333,0.146488009345,0.466666666667,0.425655947639,0.196075449324,0.51737522279,0,0.0
diff(39),3.66666666667,1.6,1.4,0.2,0.2,0.0834667977525,0.390476190476,0.329015353895,0.228187205274,0.542688865329,0,0.0
diff(42),3.6,1.6,0.733333333333,0.0666666666667,0.266666666667,0.14561597133,0.580952380952,0.395099323341,0.166020660842,0.606098988539,0,0.0
diff(29),2.6,1.4,0.6,0.2,0.0,0.0707936507937,0.161904761905,0.242864179013,0.148458386981,0.644778209221,0,0.0
diff(11),3.06666666667,1.93333333333,0.733333333333,0.133333333333,0.0,0.31485260771,0.914285714286,0.550747494816,0.263928896966,0.423653574989,0,0.0
diff(8),2.46666666667,1.06666666667,0.333333333333,0.133333333333,0.0,0.586598639456,1.75238095238,0.762246671175,0.407086409316,0.215010391355,0,0.0
diff(12),2.2,1.13333333333,0.266666666667,0.133333333333,0.533333333333,0.148276643991,0.371428571429,0.329215419933,0.201546391544,0.611737514805,0,0.0
diff(32),3.2,2.26666666667,0.266666666667,0.0,0.0666666666667,0.0963718820862,0.340659340659,0.385466104541,0.176835146928,0.563708638986,1,0.0666666666667
diff(24),2.26666666667,1.33333333333,0.466666666667,0.133333333333,0.0666666666667,0.132108843537,0.27619047619,0.353742562427,0.216862416701,0.565789619467,0,0.0
diff(45),3.53333333333,1.53333333333,0.666666666667,0.266666666667,0.466666666667,0.127204911491,0.466666666667,0.323825603084,0.164299521131,0.579078292429,0,0.0
diff(18),2.86666666667,1.86666666667,0.6,0.0,0.0,0.291216931217,0.847619047619,0.472090786926,0.234650712919,0.411877415539,0,0.0
diff(30),2.93333333333,1.66666666667,0.8,0.2,0.0,0.0711193568336,0.180952380952,0.235403177086,0.167212840853,0.62650459167,0,0.0
diff(26),2.26666666667,1.33333333333,0.533333333333,0.0,0.2,0.135736961451,0.304761904762,0.328648504466,0.198078941946,0.622426273801,0,0.0
diff(36),2.93333333333,1.53333333333,0.4,0.0666666666667,0.0,0.0554277468563,0.161904761905,0.32432149754,0.156388912928,0.6555517671,0,0.0
diff(20),2.33333333333,1.4,0.466666666667,0.2,0.0666666666667,0.153846153846,0.395604395604,0.338096950496,0.20145784649,0.59563395071,1,0.0666666666667
diff(34),3.46666666667,1.73333333333,0.6,0.2,0.2,0.109726252583,0.352380952381,0.37116938713,0.165176263545,0.578232954176,0,0.0
