,numWords,numNouns,numAdj,numAdv,numNumbers
11,3.2380952381,1.80952380952,0.428571428571,0.261904761905,0.261904761905
10,2.47619047619,1.57142857143,0.642857142857,0.047619047619,0.0714285714286
13,4.21428571429,2.30952380952,0.619047619048,0.285714285714,0.214285714286
12,2.5,1.42857142857,0.261904761905,0.0952380952381,0.0714285714286
15,2.33333333333,1.19047619048,0.785714285714,0.0714285714286,0.0
14,2.47619047619,1.54761904762,0.309523809524,0.0714285714286,0.142857142857
1,2.83333333333,1.64285714286,0.642857142857,0.0714285714286,0.142857142857
3,2.2380952381,1.35714285714,0.357142857143,0.0952380952381,0.047619047619
2,2.45238095238,1.57142857143,0.357142857143,0.0952380952381,0.0714285714286
5,3.19047619048,1.64285714286,0.547619047619,0.309523809524,0.238095238095
4,2.59523809524,1.52380952381,0.404761904762,0.047619047619,0.119047619048
7,4.71428571429,2.38095238095,0.880952380952,0.309523809524,0.309523809524
6,2.11904761905,1.33333333333,0.190476190476,0.119047619048,0.0714285714286
9,2.40476190476,1.42857142857,0.357142857143,0.142857142857,0.047619047619
8,2.2619047619,1.11904761905,0.47619047619,0.119047619048,0.0952380952381
